exp_ID,num_holes,hole_pos,num_nodes
1,2,0.9,161298
2,2,1,158836
3,2,1.1,158389
4,2,1.2,160889
5,2,1.3,161783
6,2,1.4,157684
7,2,1.5,154574
8,2,1.6,153836
9,3,0.9,163688
10,3,1,162910
11,3,1.1,164718
12,3,1.2,165907
13,3,1.3,166942
14,3,1.4,164055
15,3,1.5,161487
16,3,1.6,164866
17,4,0.9,172788
18,4,1,170516
19,4,1.1,169286
20,4,1.2,175860
21,4,1.3,176432
22,4,1.4,167591
23,4,1.5,161809
24,4,1.6,161414
25,5,0.9,174375
26,5,1,179489
27,5,1.1,177280
28,5,1.2,176839
29,5,1.3,176726
30,5,1.4,177233
31,5,1.5,174080
32,5,1.6,170833
33,6,0.9,180767
34,6,1,180034
35,6,1.1,182789
36,6,1.2,180741
37,6,1.3,185488
38,6,1.4,181538
39,6,1.5,176447
40,6,1.6,180124
41,7,0.9,188530
42,7,1,191828
43,7,1.1,194918
44,7,1.2,189319
45,7,1.3,188980
46,7,1.4,184668
47,7,1.5,183847
48,7,1.6,182386
49,8,0.9,199208
50,8,1,196006
51,8,1.1,197299
52,8,1.2,204565
53,8,1.3,194695
54,8,1.4,192125
55,8,1.5,190156
56,8,1.6,173661
57,9,0.9,199940
58,9,1,205011
59,9,1.1,200604
60,9,1.2,198007
61,9,1.3,202365
62,9,1.4,198154
63,9,1.5,189790
64,9,1.6,198567
